model,temperature,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
gpt-4o-2024-08-06,0.5,0.4984219284419679,60,60,0,58,2,0.9666666666666667,0.7241379310344828,0.27586206896551724,16,0.26666666666666666,0.27586206896551724
gpt-4o-2024-08-06,0.5,0.4748410152773255,60,60,0,59,1,0.9833333333333333,0.7288135593220338,0.2711864406779661,16,0.26666666666666666,0.2711864406779661
gpt-4o-2024-08-06,0.5,0.28723939980944735,60,60,0,60,0,1.0,0.7166666666666667,0.2833333333333333,17,0.2833333333333333,0.2833333333333333
gpt-4o-2024-08-06,1.0,0.9999891973194788,60,60,0,3,57,0.05,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,1.0,0.9999765619468316,60,60,0,5,55,0.08333333333333333,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,1.0,0.9999759659436347,60,60,0,7,53,0.11666666666666667,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,1.0,0.9999710787231805,60,60,0,8,52,0.13333333333333333,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,1.0,0.9999704827214327,60,60,0,9,51,0.15,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,1.0,0.9999534372472745,60,60,0,11,49,0.18333333333333332,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,1.0,0.9999291211297546,60,60,0,12,48,0.2,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,1.0,0.9999158905424439,60,60,0,13,47,0.21666666666666667,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,1.0,0.9999125531287093,60,60,0,14,46,0.23333333333333334,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,1.0,0.999844030374369,60,60,0,16,44,0.26666666666666666,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,1.0,0.999840931566558,60,60,0,18,42,0.3,0.8888888888888888,0.1111111111111111,2,0.03333333333333333,0.1111111111111111
gpt-4o-2024-08-06,1.0,0.9997571555670488,60,60,0,19,41,0.31666666666666665,0.8947368421052632,0.10526315789473684,2,0.03333333333333333,0.10526315789473684
gpt-4o-2024-08-06,1.0,0.9996723360933897,60,60,0,20,40,0.3333333333333333,0.85,0.15,3,0.05,0.15
gpt-4o-2024-08-06,1.0,0.9995115464619087,60,60,0,22,38,0.36666666666666664,0.8636363636363636,0.13636363636363635,3,0.05,0.13636363636363635
gpt-4o-2024-08-06,1.0,0.9990310053538145,60,60,0,24,36,0.4,0.875,0.125,3,0.05,0.125
