condition,model,scope,state,target_family,threshold,family_total,family_retained_lower,family_retained_upper,family_rate_lower,family_rate_upper,unrelated_total,unrelated_retained_lower,unrelated_retained_upper,unrelated_rate_lower,unrelated_rate_upper,own_total,own_retained_lower,own_retained_upper,own_rate_lower,own_rate_upper
baseline,qwen3.5:4b,all_crops,original,all,0.46,25,23,23,0.92,0.92,96,5,5,0.052083333333333336,0.052083333333333336,11,10,10,0.9090909090909091,0.9090909090909091
baseline,qwen3.5:4b,all_crops,original,all,0.47,25,22,22,0.88,0.88,96,5,5,0.052083333333333336,0.052083333333333336,11,10,10,0.9090909090909091,0.9090909090909091
baseline,qwen3.5:4b,all_crops,original,all,0.48,25,22,22,0.88,0.88,96,5,5,0.052083333333333336,0.052083333333333336,11,10,10,0.9090909090909091,0.9090909090909091
baseline,qwen3.5:4b,all_crops,original,all,0.49,25,22,22,0.88,0.88,96,5,5,0.052083333333333336,0.052083333333333336,11,10,10,0.9090909090909091,0.9090909090909091
baseline,qwen3.5:4b,all_crops,original,all,0.5,25,20,20,0.8,0.8,96,5,5,0.052083333333333336,0.052083333333333336,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,original,all,0.51,25,20,20,0.8,0.8,96,4,4,0.041666666666666664,0.041666666666666664,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,original,all,0.52,25,19,19,0.76,0.76,96,4,4,0.041666666666666664,0.041666666666666664,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,original,all,0.53,25,19,19,0.76,0.76,96,4,4,0.041666666666666664,0.041666666666666664,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,original,all,0.54,25,19,19,0.76,0.76,96,4,4,0.041666666666666664,0.041666666666666664,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,original,all,0.55,25,19,19,0.76,0.76,96,4,4,0.041666666666666664,0.041666666666666664,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,original,all,0.56,25,19,19,0.76,0.76,96,3,3,0.03125,0.03125,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,original,all,0.57,25,19,19,0.76,0.76,96,3,3,0.03125,0.03125,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,original,all,0.58,25,19,19,0.76,0.76,96,2,2,0.020833333333333332,0.020833333333333332,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,original,all,0.59,25,19,19,0.76,0.76,96,2,2,0.020833333333333332,0.020833333333333332,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,original,all,0.6,25,19,19,0.76,0.76,96,2,2,0.020833333333333332,0.020833333333333332,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,original,all,0.61,25,19,19,0.76,0.76,96,2,2,0.020833333333333332,0.020833333333333332,11,9,9,0.8181818181818182,0.8181818181818182
baseline,qwen3.5:4b,all_crops,original,all,0.62,25,18,18,0.72,0.72,96,2,2,0.020833333333333332,0.020833333333333332,11,8,8,0.7272727272727273,0.7272727272727273
